page_no,institute,branch,seat_type,category,ur_opening,ur_closing,cat_opening,cat_closing
50,GOVT.ENGG. COLLEGE KISHANGANJ,COMPUTER SC. & ENGINEERING,Female,E-UR,2418,5038,,
50,GOVT.ENGG. COLLEGE KISHANGANJ,COMPUTER SC. & ENGINEERING,General,EBC,,,230,230
50,GOVT.ENGG. COLLEGE KISHANGANJ,COMPUTER SC. & ENGINEERING,Female,EBC,,,832,2833
50,GOVT.ENGG. COLLEGE KISHANGANJ,COMPUTER SC. & ENGINEERING,General,BC,,,315,372
50,GOVT.ENGG. COLLEGE KISHANGANJ,COMPUTER SC. & ENGINEERING,Female,BC,,,1164,1760
50,GOVT.ENGG. COLLEGE KISHANGANJ,COMPUTER SCIENCE & ENGG (ARTIFICAL INTELLIGENCE & MACHINE LEARNING),General,UR,844,1249,,
50,GOVT.ENGG. COLLEGE KISHANGANJ,COMPUTER SCIENCE & ENGG (ARTIFICAL INTELLIGENCE & MACHINE LEARNING),Female,UR,3129,10602,,
50,GOVT.ENGG. COLLEGE KISHANGANJ,COMPUTER SCIENCE & ENGG (ARTIFICAL INTELLIGENCE & MACHINE LEARNING),General,SMQ,,,89,123
50,GOVT.ENGG. COLLEGE KISHANGANJ,COMPUTER SCIENCE & ENGG (ARTIFICAL INTELLIGENCE & MACHINE LEARNING),General,SC,,,605,2012
51,GOVT.ENGG. COLLEGE KISHANGANJ,COMPUTER SCIENCE & ENGG (ARTIFICAL INTELLIGENCE & MACHINE LEARNING),General,RCG,,,2467,3042
51,GOVT.ENGG. COLLEGE KISHANGANJ,COMPUTER SCIENCE & ENGG (ARTIFICAL INTELLIGENCE & MACHINE LEARNING),General,EWS,,,183,183
51,GOVT.ENGG. COLLEGE KISHANGANJ,COMPUTER SCIENCE & ENGG (ARTIFICAL INTELLIGENCE & MACHINE LEARNING),Female,EWS,,,917,1769
51,GOVT.ENGG. COLLEGE KISHANGANJ,COMPUTER SCIENCE & ENGG (ARTIFICAL INTELLIGENCE & MACHINE LEARNING),Female,E-BC,,,3583,3583
51,GOVT.ENGG. COLLEGE KISHANGANJ,COMPUTER SCIENCE & ENGG (ARTIFICAL INTELLIGENCE & MACHINE LEARNING),Female,EBC,,,3131,5738
51,GOVT.ENGG. COLLEGE KISHANGANJ,COMPUTER SCIENCE & ENGG (ARTIFICAL INTELLIGENCE & MACHINE LEARNING),Female,BC,,,2389,4468
51,GOVT.ENGG. COLLEGE KISHANGANJ,ELECTRICAL ENGINEERING,General,UR,3305,3408,,
51,GOVT.ENGG. COLLEGE KISHANGANJ,ELECTRICAL ENGINEERING,General,SC,,,1801,1801
51,GOVT.ENGG. COLLEGE KISHANGANJ,ELECTRICAL ENGINEERING,General,EWS,,,857,1522
51,GOVT.ENGG. COLLEGE KISHANGANJ,ELECTRICAL ENGINEERING,General,E-UR,4278,7046,,
51,GOVT.ENGG. COLLEGE KISHANGANJ,ELECTRICAL ENGINEERING,General,EBC,,,1725,3287
51,GOVT.ENGG. COLLEGE KISHANGANJ,ELECTRICAL ENGINEERING,General,BC,,,1836,2935
51,GOVT.ENGG. COLLEGE KISHANGANJ,ELECTRO & COMMUNICATION ENGINEERING,General,UR,3133,4515,,
51,GOVT.ENGG. COLLEGE KISHANGANJ,ELECTRO & COMMUNICATION ENGINEERING,Female,UR,6129,6129,,
51,GOVT.ENGG. COLLEGE KISHANGANJ,ELECTRO & COMMUNICATION ENGINEERING,General,EWS,,,884,1457
51,GOVT.ENGG. COLLEGE KISHANGANJ,ELECTRO & COMMUNICATION ENGINEERING,Female,EWS,,,1577,2791
51,GOVT.ENGG. COLLEGE KISHANGANJ,ELECTRO & COMMUNICATION ENGINEERING,General,E-BC,,,1837,1837
51,GOVT.ENGG. COLLEGE KISHANGANJ,ELECTRO & COMMUNICATION ENGINEERING,General,EBC,,,1315,3238
51,GOVT.ENGG. COLLEGE KISHANGANJ,ELECTRO & COMMUNICATION ENGINEERING,General,BC,,,1686,2780
51,GOVT.ENGG. COLLEGE KISHANGANJ,MECHANICAL ENGINEERING,General,UR,2246,2246,,
51,GOVT.ENGG. COLLEGE KISHANGANJ,MECHANICAL ENGINEERING,General,EWS,,,1444,2010
51,GOVT.ENGG. COLLEGE KISHANGANJ,MECHANICAL ENGINEERING,General,E-EBC,,,3322,3729
51,GOVT.ENGG. COLLEGE KISHANGANJ,MECHANICAL ENGINEERING,General,EBC,,,2257,3638
51,GOVT.ENGG. COLLEGE KISHANGANJ,MECHANICAL ENGINEERING,General,BC,,,2403,3120
51,"K.C.E., KATIHAR",CIVIL ENGINEERING,General,UR,761,761,,
52,"K.C.E., KATIHAR",CIVIL ENGINEERING,Female,UR,886,3351,,
52,"K.C.E., KATIHAR",CIVIL ENGINEERING,General,SMQ,,,77,77
52,"K.C.E., KATIHAR",CIVIL ENGINEERING,Female,SC,,,595,1819
52,"K.C.E., KATIHAR",CIVIL ENGINEERING,General,RCG,,,1806,1890
52,"K.C.E., KATIHAR",CIVIL ENGINEERING,General,EWS,,,215,225
52,"K.C.E., KATIHAR",CIVIL ENGINEERING,Female,EWS,,,1138,2622
52,"K.C.E., KATIHAR",CIVIL ENGINEERING,General,E-SC,,,434,466
52,"K.C.E., KATIHAR",CIVIL ENGINEERING,Female,E-BC,,,2820,2820
52,"K.C.E., KATIHAR",CIVIL ENGINEERING,Female,EBC,,,1408,2436
52,"K.C.E., KATIHAR",CIVIL ENGINEERING,General,DQ,,,78,78
52,"K.C.E., KATIHAR",CIVIL ENGINEERING,Female,BC,,,2242,2628
52,"K.C.E., KATIHAR",COMPUTER SC. & ENGINEERING,General,UR,70,1043,,
52,"K.C.E., KATIHAR",COMPUTER SC. & ENGINEERING,Female,UR,343,592,,
52,"K.C.E., KATIHAR",COMPUTER SC. & ENGINEERING,General,SMQ,,,10,10
52,"K.C.E., KATIHAR",COMPUTER SC. & ENGINEERING,General,SC,,,111,136
52,"K.C.E., KATIHAR",COMPUTER SC. & ENGINEERING,Female,SC,,,402,1840
52,"K.C.E., KATIHAR",COMPUTER SC. & ENGINEERING,General,EWS,,,55,55
52,"K.C.E., KATIHAR",COMPUTER SC. & ENGINEERING,Female,EWS,,,150,150
52,"K.C.E., KATIHAR",COMPUTER SC. & ENGINEERING,Female,E-UR,462,462,,
52,"K.C.E., KATIHAR",COMPUTER SC. & ENGINEERING,General,EBC,,,89,136
52,"K.C.E., KATIHAR",COMPUTER SC. & ENGINEERING,Female,EBC,,,141,141
52,"K.C.E., KATIHAR",COMPUTER SC. & ENGINEERING,General,BC,,,101,101
52,"K.C.E., KATIHAR",ELECTRICAL & ELECTRONICS ENGINEERING,General,UR,854,2290,,
52,"K.C.E., KATIHAR",ELECTRICAL & ELECTRONICS ENGINEERING,Female,UR,589,13228,,
52,"K.C.E., KATIHAR",ELECTRICAL & ELECTRONICS ENGINEERING,General,SMQ,,,153,153
52,"K.C.E., KATIHAR",ELECTRICAL & ELECTRONICS ENGINEERING,General,SC,,,882,1868
52,"K.C.E., KATIHAR",ELECTRICAL & ELECTRONICS ENGINEERING,General,RCG,,,3067,4302
52,"K.C.E., KATIHAR",ELECTRICAL & ELECTRONICS ENGINEERING,Female,EWS,,,1552,2001
52,"K.C.E., KATIHAR",ELECTRICAL & ELECTRONICS ENGINEERING,Female,E-UR,5742,5742,,
52,"K.C.E., KATIHAR",ELECTRICAL & ELECTRONICS ENGINEERING,Female,EBC,,,2115,4586
52,"K.C.E., KATIHAR",ELECTRICAL & ELECTRONICS ENGINEERING,Female,BC,,,4201,4846
52,"K.C.E., KATIHAR",ELECTRONICS ENGG. (VLSI DESIGN & TECHNOLOGY),General,UR,1511,5751,,
52,"K.C.E., KATIHAR",ELECTRONICS ENGG. (VLSI DESIGN & TECHNOLOGY),Female,UR,6569,6569,,
52,"K.C.E., KATIHAR",ELECTRONICS ENGG. (VLSI DESIGN & TECHNOLOGY),General,SC,,,467,1710
52,"K.C.E., KATIHAR",ELECTRONICS ENGG. (VLSI DESIGN & TECHNOLOGY),General,RCG,,,2510,2510
52,"K.C.E., KATIHAR",ELECTRONICS ENGG. (VLSI DESIGN & TECHNOLOGY),General,EWS,,,1120,1622
52,"K.C.E., KATIHAR",ELECTRONICS ENGG. (VLSI DESIGN & TECHNOLOGY),General,E-UR,4163,6169,,
52,"K.C.E., KATIHAR",ELECTRONICS ENGG. (VLSI DESIGN & TECHNOLOGY),General,EBC,,,1307,2241
52,"K.C.E., KATIHAR",ELECTRONICS ENGG. (VLSI DESIGN & TECHNOLOGY),Female,EBC,,,4082,4489
52,"K.C.E., KATIHAR",ELECTRONICS ENGG. (VLSI DESIGN & TECHNOLOGY),General,BC,,,1748,2712
53,"K.C.E., KATIHAR",ELECTRONICS ENGG. (VLSI DESIGN & TECHNOLOGY),Female,BC,,,3772,5864
53,"K.C.E., KATIHAR",MECHANICAL AND SMART MANUFACTURING,General,UR,1397,3840,,
53,"K.C.E., KATIHAR",MECHANICAL AND SMART MANUFACTURING,General,ST,,,42,42
53,"K.C.E., KATIHAR",MECHANICAL AND SMART MANUFACTURING,General,EWS,,,1058,1664
53,"K.C.E., KATIHAR",MECHANICAL AND SMART MANUFACTURING,General,E-BC,,,2465,2795
53,"K.C.E., KATIHAR",MECHANICAL AND SMART MANUFACTURING,General,EBC,,,1317,3629
53,"K.C.E., KATIHAR",MECHANICAL AND SMART MANUFACTURING,General,BC,,,2050,2689
53,"K.C.E., KATIHAR",MECHANICAL ENGINEERING,General,UR,2086,5317,,
53,"K.C.E., KATIHAR",MECHANICAL ENGINEERING,General,SC,,,1096,1096
53,"K.C.E., KATIHAR",MECHANICAL ENGINEERING,General,EWS,,,745,1219
53,"K.C.E., KATIHAR",MECHANICAL ENGINEERING,General,E-UR,2290,5459,,
53,"K.C.E., KATIHAR",MECHANICAL ENGINEERING,General,EBC,,,795,1865
53,"K.C.E., KATIHAR",MECHANICAL ENGINEERING,Female,EBC,,,5033,5033
53,L.N.J.P.I.T. TECHNOLOGY. CHAPRA,CIVIL ENGINEERING,General,UR,260,260,,
53,L.N.J.P.I.T. TECHNOLOGY. CHAPRA,CIVIL ENGINEERING,Female,UR,748,4352,,
53,L.N.J.P.I.T. TECHNOLOGY. CHAPRA,CIVIL ENGINEERING,General,SC,,,50,50
53,L.N.J.P.I.T. TECHNOLOGY. CHAPRA,CIVIL ENGINEERING,Female,SC,,,575,1362
53,L.N.J.P.I.T. TECHNOLOGY. CHAPRA,CIVIL ENGINEERING,Female,EWS,,,602,789
53,L.N.J.P.I.T. TECHNOLOGY. CHAPRA,CIVIL ENGINEERING,Female,E-UR,2224,2224,,
53,L.N.J.P.I.T. TECHNOLOGY. CHAPRA,CIVIL ENGINEERING,General,EBC,,,156,171
53,L.N.J.P.I.T. TECHNOLOGY. CHAPRA,CIVIL ENGINEERING,Female,EBC,,,826,1282
53,L.N.J.P.I.T. TECHNOLOGY. CHAPRA,CIVIL ENGINEERING,General,BC,,,264,264
53,L.N.J.P.I.T. TECHNOLOGY. CHAPRA,CIVIL ENGINEERING,Female,BC,,,1026,1026
53,L.N.J.P.I.T. TECHNOLOGY. CHAPRA,COMPUTER SC. & ENGINEERING,General,UR,129,308,,
53,L.N.J.P.I.T. TECHNOLOGY. CHAPRA,COMPUTER SC. & ENGINEERING,Female,UR,355,464,,
53,L.N.J.P.I.T. TECHNOLOGY. CHAPRA,COMPUTER SC. & ENGINEERING,Female,ST,,,69,69
53,L.N.J.P.I.T. TECHNOLOGY. CHAPRA,COMPUTER SC. & ENGINEERING,General,SC,,,64,64
53,L.N.J.P.I.T. TECHNOLOGY. CHAPRA,COMPUTER SC. & ENGINEERING,Female,SC,,,119,119
53,L.N.J.P.I.T. TECHNOLOGY. CHAPRA,COMPUTER SC. & ENGINEERING,General,EWS,,,40,67
53,L.N.J.P.I.T. TECHNOLOGY. CHAPRA,COMPUTER SC. & ENGINEERING,General,EBC,,,63,114
54,L.N.J.P.I.T. TECHNOLOGY. CHAPRA,COMPUTER SC. & ENGINEERING,General,DQ,,,24,24
54,L.N.J.P.I.T. TECHNOLOGY. CHAPRA,COMPUTER SC. & ENGINEERING,General,BC,,,84,84
54,L.N.J.P.I.T. TECHNOLOGY. CHAPRA,ELECTRICAL & ELECTRONICS ENGINEERING,General,UR,807,807,,
54,L.N.J.P.I.T. TECHNOLOGY. CHAPRA,ELECTRICAL & ELECTRONICS ENGINEERING,Female,UR,1462,10816,,
54,L.N.J.P.I.T. TECHNOLOGY. CHAPRA,ELECTRICAL & ELECTRONICS ENGINEERING,General,SC,,,69,667
54,L.N.J.P.I.T. TECHNOLOGY. CHAPRA,ELECTRICAL & ELECTRONICS ENGINEERING,Female,SC,,,468,468
54,L.N.J.P.I.T. TECHNOLOGY. CHAPRA,ELECTRICAL & ELECTRONICS ENGINEERING,General,RCG,,,2073,4483
54,L.N.J.P.I.T. TECHNOLOGY. CHAPRA,ELECTRICAL & ELECTRONICS ENGINEERING,General,EWS,,,216,216
54,L.N.J.P.I.T. TECHNOLOGY. CHAPRA,ELECTRICAL & ELECTRONICS ENGINEERING,Female,EWS,,,920,920
54,L.N.J.P.I.T. TECHNOLOGY. CHAPRA,ELECTRICAL & ELECTRONICS ENGINEERING,General,EBC,,,244,274
54,L.N.J.P.I.T. TECHNOLOGY. CHAPRA,ELECTRICAL & ELECTRONICS ENGINEERING,Female,EBC,,,2364,4022
54,L.N.J.P.I.T. TECHNOLOGY. CHAPRA,ELECTRICAL & ELECTRONICS ENGINEERING,Female,BC,,,2881,4658
54,L.N.J.P.I.T. TECHNOLOGY. CHAPRA,FOOD PROCESSING & PRESERVATION,General,UR,1288,4067,,
54,L.N.J.P.I.T. TECHNOLOGY. CHAPRA,FOOD PROCESSING & PRESERVATION,Female,UR,5083,8901,,
54,L.N.J.P.I.T. TECHNOLOGY. CHAPRA,FOOD PROCESSING & PRESERVATION,General,EWS,,,1047,2022
54,L.N.J.P.I.T. TECHNOLOGY. CHAPRA,FOOD PROCESSING & PRESERVATION,Female,EWS,,,2342,2699
54,L.N.J.P.I.T. TECHNOLOGY. CHAPRA,FOOD PROCESSING & PRESERVATION,General,E-EBC,,,3418,3900
54,L.N.J.P.I.T. TECHNOLOGY. CHAPRA,FOOD PROCESSING & PRESERVATION,General,E-BC,,,2531,2531
54,L.N.J.P.I.T. TECHNOLOGY. CHAPRA,FOOD PROCESSING & PRESERVATION,General,EBC,,,1767,3888
54,L.N.J.P.I.T. TECHNOLOGY. CHAPRA,FOOD PROCESSING & PRESERVATION,Female,EBC,,,3155,4069
54,L.N.J.P.I.T. TECHNOLOGY. CHAPRA,FOOD PROCESSING & PRESERVATION,General,BC,,,2166,3161
54,L.N.J.P.I.T. TECHNOLOGY. CHAPRA,FOOD PROCESSING & PRESERVATION,Female,BC,,,4545,6195
54,L.N.J.P.I.T. TECHNOLOGY. CHAPRA,MECHANICAL ENGINEERING,General,UR,1104,1922,,
54,L.N.J.P.I.T. TECHNOLOGY. CHAPRA,MECHANICAL ENGINEERING,Female,UR,17133,17133,,
55,L.N.J.P.I.T. TECHNOLOGY. CHAPRA,MECHANICAL ENGINEERING,General,SC,,,220,731
55,L.N.J.P.I.T. TECHNOLOGY. CHAPRA,MECHANICAL ENGINEERING,Female,EWS,,,2564,2748
55,L.N.J.P.I.T. TECHNOLOGY. CHAPRA,MECHANICAL ENGINEERING,Female,E-UR,10588,10588,,
55,L.N.J.P.I.T. TECHNOLOGY. CHAPRA,MECHANICAL ENGINEERING,Female,EBC,,,3615,4130
55,L.N.J.P.I.T. TECHNOLOGY. CHAPRA,MECHANICAL ENGINEERING,General,BC,,,628,628
55,L.N.J.P.I.T. TECHNOLOGY. CHAPRA,MECHANICAL ENGINEERING,Female,BC,,,4128,6658
55,M..C.E. MOTIHARI,CIVIL ENGG WITH COMPUTER APPLICATION,Female,UR,1286,11243,,
55,M..C.E. MOTIHARI,CIVIL ENGG WITH COMPUTER APPLICATION,General,SMQ,,,166,166
55,M..C.E. MOTIHARI,CIVIL ENGG WITH COMPUTER APPLICATION,General,SC,,,107,1828
55,M..C.E. MOTIHARI,CIVIL ENGG WITH COMPUTER APPLICATION,General,RCG,,,3159,3159
55,M..C.E. MOTIHARI,CIVIL ENGG WITH COMPUTER APPLICATION,General,EWS,,,294,588
55,M..C.E. MOTIHARI,CIVIL ENGG WITH COMPUTER APPLICATION,Female,EWS,,,862,949
55,M..C.E. MOTIHARI,CIVIL ENGG WITH COMPUTER APPLICATION,General,E-UR,617,1046,,
55,M..C.E. MOTIHARI,CIVIL ENGG WITH COMPUTER APPLICATION,Female,E-EBC,,,4288,4288
55,M..C.E. MOTIHARI,CIVIL ENGG WITH COMPUTER APPLICATION,General,EBC,,,262,656
55,M..C.E. MOTIHARI,CIVIL ENGG WITH COMPUTER APPLICATION,Female,EBC,,,1703,3492
55,M..C.E. MOTIHARI,CIVIL ENGG WITH COMPUTER APPLICATION,Female,BC,,,3676,6872
55,M..C.E. MOTIHARI,CIVIL ENGINEERING,General,UR,111,577,,
55,M..C.E. MOTIHARI,CIVIL ENGINEERING,Female,UR,297,2805,,
55,M..C.E. MOTIHARI,CIVIL ENGINEERING,Female,SC,,,455,1365
55,M..C.E. MOTIHARI,CIVIL ENGINEERING,General,RCG,,,409,802
55,M..C.E. MOTIHARI,CIVIL ENGINEERING,General,EWS,,,125,146
55,M..C.E. MOTIHARI,CIVIL ENGINEERING,Female,EWS,,,213,213
55,M..C.E. MOTIHARI,CIVIL ENGINEERING,Female,EBC,,,630,630
55,M..C.E. MOTIHARI,CIVIL ENGINEERING,General,BC,,,164,252
55,M..C.E. MOTIHARI,CIVIL ENGINEERING,Female,BC,,,581,581
55,M..C.E. MOTIHARI,COMPUTER SC. & ENGINEERING,General,UR,93,323,,
55,M..C.E. MOTIHARI,COMPUTER SC. & ENGINEERING,Female,UR,233,233,,
55,M..C.E. MOTIHARI,COMPUTER SC. & ENGINEERING,General,SC,,,34,68
55,M..C.E. MOTIHARI,COMPUTER SC. & ENGINEERING,General,E-EBC,,,74,74
55,M..C.E. MOTIHARI,COMPUTER SC. & ENGINEERING,General,EBC,,,69,109
55,M..C.E. MOTIHARI,COMPUTER SC. & ENGINEERING,General,BC,,,51,137
55,M..C.E. MOTIHARI,COMPUTER SCIENCE & ENGG (ARTIFICAL INTELLIGENCE),General,UR,213,366,,
55,M..C.E. MOTIHARI,COMPUTER SCIENCE & ENGG (ARTIFICAL INTELLIGENCE),Female,UR,472,629,,
55,M..C.E. MOTIHARI,COMPUTER SCIENCE & ENGG (ARTIFICAL INTELLIGENCE),Female,SC,,,208,208
55,M..C.E. MOTIHARI,COMPUTER SCIENCE & ENGG (ARTIFICAL INTELLIGENCE),General,RCG,,,174,174
55,M..C.E. MOTIHARI,ELECTRICAL & ELECTRONICS ENGINEERING,General,UR,283,1755,,
55,M..C.E. MOTIHARI,ELECTRICAL & ELECTRONICS ENGINEERING,Female,UR,503,4024,,
55,M..C.E. MOTIHARI,ELECTRICAL & ELECTRONICS ENGINEERING,General,SMQ,,,74,74
56,M..C.E. MOTIHARI,ELECTRICAL & ELECTRONICS ENGINEERING,General,SC,,,292,1839
56,M..C.E. MOTIHARI,ELECTRICAL & ELECTRONICS ENGINEERING,General,RCG,,,1158,2337
56,M..C.E. MOTIHARI,ELECTRICAL & ELECTRONICS ENGINEERING,Female,EWS,,,533,2001
56,M..C.E. MOTIHARI,ELECTRICAL & ELECTRONICS ENGINEERING,General,E-RCG,,,1261,4351
56,M..C.E. MOTIHARI,ELECTRICAL & ELECTRONICS ENGINEERING,Female,EBC,,,1298,3097
56,M..C.E. MOTIHARI,ELECTRICAL & ELECTRONICS ENGINEERING,General,BC,,,499,739
56,M..C.E. MOTIHARI,ELECTRICAL & ELECTRONICS ENGINEERING,Female,BC,,,1104,1104
56,M..C.E. MOTIHARI,MECHANICAL ENGINEERING,General,UR,1582,2336,,
56,M..C.E. MOTIHARI,MECHANICAL ENGINEERING,Female,UR,7478,13615,,
56,M..C.E. MOTIHARI,MECHANICAL ENGINEERING,General,SC,,,429,1994
56,M..C.E. MOTIHARI,MECHANICAL ENGINEERING,General,EWS,,,425,425
56,M..C.E. MOTIHARI,MECHANICAL ENGINEERING,Female,EWS,,,2237,2237
56,M..C.E. MOTIHARI,MECHANICAL ENGINEERING,Female,E-UR,10077,10077,,
56,M..C.E. MOTIHARI,MECHANICAL ENGINEERING,General,EBC,,,798,918
56,M..C.E. MOTIHARI,MECHANICAL ENGINEERING,General,BC,,,826,826
56,M..C.E. MOTIHARI,MECHANICAL ENGINEERING,Female,BC,,,4076,6872
56,M.I.T. MUZAFFARPUR,BIOMEDICAL ROBOTIC ENGG,General,UR,59,1209,,
56,M.I.T. MUZAFFARPUR,BIOMEDICAL ROBOTIC ENGG,Female,UR,313,3691,,
56,M.I.T. MUZAFFARPUR,BIOMEDICAL ROBOTIC ENGG,General,SC,,,113,1633
56,M.I.T. MUZAFFARPUR,BIOMEDICAL ROBOTIC ENGG,Female,SC,,,508,508
56,M.I.T. MUZAFFARPUR,BIOMEDICAL ROBOTIC ENGG,General,RCG,,,614,1075
56,M.I.T. MUZAFFARPUR,BIOMEDICAL ROBOTIC ENGG,Female,EWS,,,260,260
56,M.I.T. MUZAFFARPUR,BIOMEDICAL ROBOTIC ENGG,General,E-UR,869,1385,,
56,M.I.T. MUZAFFARPUR,BIOMEDICAL ROBOTIC ENGG,General,E-SC,,,759,759
56,M.I.T. MUZAFFARPUR,BIOMEDICAL ROBOTIC ENGG,Female,E-BC,,,1011,1011
56,M.I.T. MUZAFFARPUR,BIOMEDICAL ROBOTIC ENGG,Female,EBC,,,1120,1345
56,M.I.T. MUZAFFARPUR,BIOMEDICAL ROBOTIC ENGG,General,BC,,,408,408
56,M.I.T. MUZAFFARPUR,BIOMEDICAL ROBOTIC ENGG,Female,BC,,,738,738
56,M.I.T. MUZAFFARPUR,CHEMICAL ENGG,General,UR,197,197,,
56,M.I.T. MUZAFFARPUR,CHEMICAL ENGG,General,SMQ,,,132,132
56,M.I.T. MUZAFFARPUR,CHEMICAL ENGG,General,SC,,,96,96
56,M.I.T. MUZAFFARPUR,CHEMICAL ENGG,Female,SC,,,1464,1464
56,M.I.T. MUZAFFARPUR,CHEMICAL ENGG,Female,E-UR,914,914,,
56,M.I.T. MUZAFFARPUR,CHEMICAL ENGG,General,EBC,,,195,571
56,M.I.T. MUZAFFARPUR,CHEMICAL ENGG,General,BC,,,236,536
56,M.I.T. MUZAFFARPUR,CHEMICAL ENGG,Female,BC,,,1646,2209
56,M.I.T. MUZAFFARPUR,CHEMICAL TECHNOLOGY (LEATHER TECH),General,UR,918,2669,,
56,M.I.T. MUZAFFARPUR,CHEMICAL TECHNOLOGY (LEATHER TECH),Female,UR,601,5077,,
56,M.I.T. MUZAFFARPUR,CHEMICAL TECHNOLOGY (LEATHER TECH),General,SC,,,237,1750
56,M.I.T. MUZAFFARPUR,CHEMICAL TECHNOLOGY (LEATHER TECH),General,RCG,,,2800,2800
56,M.I.T. MUZAFFARPUR,CHEMICAL TECHNOLOGY (LEATHER TECH),General,EWS,,,187,187
56,M.I.T. MUZAFFARPUR,CHEMICAL TECHNOLOGY (LEATHER TECH),Female,EWS,,,318,318
56,M.I.T. MUZAFFARPUR,CHEMICAL TECHNOLOGY (LEATHER TECH),Female,EBC,,,5704,5704
56,M.I.T. MUZAFFARPUR,CHEMICAL TECHNOLOGY (LEATHER TECH),General,BC,,,749,2466
56,M.I.T. MUZAFFARPUR,CHEMICAL TECHNOLOGY (LEATHER TECH),Female,BC,,,2427,3449
56,M.I.T. MUZAFFARPUR,CIVIL ENGINEERING,General,UR,111,111,,
56,M.I.T. MUZAFFARPUR,CIVIL ENGINEERING,Female,UR,53,53,,
56,M.I.T. MUZAFFARPUR,CIVIL ENGINEERING,General,EWS,,,4,4
56,M.I.T. MUZAFFARPUR,CIVIL ENGINEERING,General,DQ,,,28,28
57,M.I.T. MUZAFFARPUR,COMPUTER SC. & ENGINEERING,General,UR,3,14,,
57,M.I.T. MUZAFFARPUR,COMPUTER SC. & ENGINEERING,Female,UR,68,68,,
57,M.I.T. MUZAFFARPUR,COMPUTER SC. & ENGINEERING,General,SC,,,3,3
57,M.I.T. MUZAFFARPUR,COMPUTER SC. & ENGINEERING,General,E-UR,19,32,,
57,M.I.T. MUZAFFARPUR,COMPUTER SC. & ENGINEERING,Female,EBC,,,31,31
57,M.I.T. MUZAFFARPUR,COMPUTER SC. & ENGINEERING,General,DQ,,,1,6
57,M.I.T. MUZAFFARPUR,ELECTRICAL ENGINEERING,General,UR,46,46,,
57,M.I.T. MUZAFFARPUR,ELECTRICAL ENGINEERING,Female,SC,,,57,57
57,M.I.T. MUZAFFARPUR,ELECTRICAL ENGINEERING,General,EWS,,,22,22
57,M.I.T. MUZAFFARPUR,ELECTRICAL ENGINEERING,General,EBC,,,55,55
57,M.I.T. MUZAFFARPUR,ELECTRO & COMMUNICATION ENGINEERING,General,E-EBC,,,27,51
57,M.I.T. MUZAFFARPUR,ELECTRO & COMMUNICATION ENGINEERING,General,DQ,,,75,75
57,M.I.T. MUZAFFARPUR,ELECTRO & COMMUNICATION ENGINEERING,General,BC,,,13,82
57,M.I.T. MUZAFFARPUR,I.T.,General,SC,,,45,80
57,M.I.T. MUZAFFARPUR,I.T.,General,EBC,,,8,8
57,M.I.T. MUZAFFARPUR,I.T.,General,DQ,,,26,26
57,M.I.T. MUZAFFARPUR,MECHANICAL ENGINEERING,Female,UR,427,1074,,
57,M.I.T. MUZAFFARPUR,MECHANICAL ENGINEERING,General,ST,,,32,45
57,M.I.T. MUZAFFARPUR,MECHANICAL ENGINEERING,Female,SC,,,191,1957
57,M.I.T. MUZAFFARPUR,MECHANICAL ENGINEERING,General,RCG,,,129,129
57,M.I.T. MUZAFFARPUR,MECHANICAL ENGINEERING,General,DQ,,,71,74
57,"NALANDA COLLEGE. OF ENGG,CHANDI",AERONAUTICAL ENGG,General,UR,183,1497,,
57,"NALANDA COLLEGE. OF ENGG,CHANDI",AERONAUTICAL ENGG,Female,UR,605,6581,,
57,"NALANDA COLLEGE. OF ENGG,CHANDI",AERONAUTICAL ENGG,General,SMQ,,,24,24
57,"NALANDA COLLEGE. OF ENGG,CHANDI",AERONAUTICAL ENGG,General,SC,,,228,1643
57,"NALANDA COLLEGE. OF ENGG,CHANDI",AERONAUTICAL ENGG,General,RCG,,,1034,2412
57,"NALANDA COLLEGE. OF ENGG,CHANDI",AERONAUTICAL ENGG,General,EWS,,,241,290
57,"NALANDA COLLEGE. OF ENGG,CHANDI",AERONAUTICAL ENGG,Female,EWS,,,534,1733
57,"NALANDA COLLEGE. OF ENGG,CHANDI",AERONAUTICAL ENGG,Female,E-EBC,,,2673,2673
57,"NALANDA COLLEGE. OF ENGG,CHANDI",AERONAUTICAL ENGG,General,EBC,,,190,795
57,"NALANDA COLLEGE. OF ENGG,CHANDI",AERONAUTICAL ENGG,Female,EBC,,,302,3347
57,"NALANDA COLLEGE. OF ENGG,CHANDI",AERONAUTICAL ENGG,Female,BC,,,840,2941
57,"NALANDA COLLEGE. OF ENGG,CHANDI",ARTIFICIAL INTELLIGENCE & MACHINE LEARNING,General,UR,66,272,,
57,"NALANDA COLLEGE. OF ENGG,CHANDI",ARTIFICIAL INTELLIGENCE & MACHINE LEARNING,Female,UR,267,319,,
57,"NALANDA COLLEGE. OF ENGG,CHANDI",ARTIFICIAL INTELLIGENCE & MACHINE LEARNING,Female,SC,,,689,1374
58,"NALANDA COLLEGE. OF ENGG,CHANDI",ARTIFICIAL INTELLIGENCE & MACHINE LEARNING,General,EWS,,,62,62
58,"NALANDA COLLEGE. OF ENGG,CHANDI",ARTIFICIAL INTELLIGENCE & MACHINE LEARNING,Female,E-SC,,,1257,1257
